user_id score n_interactive_queries
3 -1.0 0.0
9 -1.0 0.0
10 -1.0 0.0
11 -1.0 0.0
12 -1.0 0.0
15 -1.0 0.0
16 -1.0 0.0
17 -1.0 0.0
18 -1.0 0.0
20 -1.0 0.0
21 -1.0 0.0
23 -1.0 0.0
28 -1.0 0.0
38 -1.0 0.0
39 -1.0 0.0
41 -1.0 0.0
43 -1.0 0.0
44 -1.0 0.0
46 -1.0 0.0
48 -1.0 0.0
49 -1.0 0.0
51 -1.0 0.0
52 -1.0 0.0
53 -1.0 0.0
54 -1.0 0.0
55 -1.0 0.0
56 -1.0 0.0
57 -1.0 0.0
59 -1.0 0.0
66 -1.0 0.0
70 -1.0 0.0
71 -1.0 0.0
75 -1.0 0.0
80 -1.0 0.0
81 -1.0 0.0
83 -1.0 0.0
85 -1.0 0.0
86 -1.0 0.0
88 -1.0 0.0
92 -1.0 0.0
95 -1.0 0.0
98 -1.0 0.0
99 -1.0 0.0
100 -1.0 0.0
101 -1.0 0.0
103 -1.0 0.0
106 -1.0 0.0
113 -1.0 0.0
117 -1.0 0.0
119 -1.0 0.0
120 -1.0 0.0
121 -1.0 0.0
123 -1.0 0.0
124 -1.0 0.0
129 -1.0 0.0
130 -1.0 0.0
134 -1.0 0.0
136 -1.0 0.0
137 -1.0 0.0
142 -1.0 0.0
144 -1.0 0.0
145 -1.0 0.0
146 -1.0 0.0
148 -1.0 0.0
149 -1.0 0.0
152 -1.0 0.0
155 -1.0 0.0
164 -1.0 0.0
171 -1.0 0.0
172 -1.0 0.0
173 -1.0 0.0
175 -1.0 0.0
178 -1.0 0.0
180 -1.0 0.0
184 -1.0 0.0
185 -1.0 0.0
186 -1.0 0.0
187 -1.0 0.0
188 -1.0 0.0
192 -1.0 0.0
193 -1.0 0.0
194 -1.0 0.0
195 -1.0 0.0
199 -1.0 0.0
204 -1.0 0.0
205 -1.0 0.0
208 -1.0 0.0
213 -1.0 0.0
215 -1.0 0.0
225 -1.0 0.0
227 -1.0 0.0
228 -1.0 0.0
236 -1.0 0.0
238 -1.0 0.0
239 -1.0 0.0
243 -1.0 0.0
244 -1.0 0.0
247 -1.0 0.0
248 -1.0 0.0
256 -1.0 0.0
257 -1.0 0.0
258 -1.0 0.0
260 -1.0 0.0
261 -1.0 0.0
269 -1.0 0.0
270 -1.0 0.0
271 -1.0 0.0
273 -1.0 0.0
276 -1.0 0.0
278 -1.0 0.0
281 -1.0 0.0
284 -1.0 0.0
286 -1.0 0.0
287 -1.0 0.0
293 -1.0 0.0
296 -1.0 0.0
297 -1.0 0.0
298 -1.0 0.0
299 -1.0 0.0
303 -1.0 0.0
306 -1.0 0.0
309 -1.0 0.0
312 -1.0 0.0
313 -1.0 0.0
317 -1.0 0.0
318 -1.0 0.0
321 -1.0 0.0
323 -1.0 0.0
325 -1.0 0.0
326 -1.0 0.0
328 -1.0 0.0
329 -1.0 0.0
333 -1.0 0.0
336 -1.0 0.0
344 -1.0 0.0
345 -1.0 0.0
355 -1.0 0.0
359 -1.0 0.0
360 -1.0 0.0
362 -1.0 0.0
367 -1.0 0.0
371 -1.0 0.0
372 -1.0 0.0
373 -1.0 0.0
374 -1.0 0.0
375 -1.0 0.0
378 -1.0 0.0
381 -1.0 0.0
382 -1.0 0.0
389 -1.0 0.0
390 -1.0 0.0
392 -1.0 0.0
394 -1.0 0.0
395 -1.0 0.0
397 -1.0 0.0
398 -1.0 0.0
399 -1.0 0.0
400 -1.0 0.0
404 -1.0 0.0
406 -1.0 0.0
410 -1.0 0.0
413 -1.0 0.0
417 -1.0 0.0
421 -1.0 0.0
424 -1.0 0.0
425 -1.0 0.0
427 -1.0 0.0
432 -1.0 0.0
437 -1.0 0.0
441 -1.0 0.0
442 -1.0 0.0
444 -1.0 0.0
446 -1.0 0.0
7 0.0 6.0
13 0.0 198.0
14 0.0 14.0
25 0.0 1958.0
26 0.0 413.0
34 0.0 2.0
60 0.0 3.0
62 0.0 8.0
63 0.0 5.0
65 0.0 15.0
77 0.0 58.0
93 0.0 1.0
104 0.0 24.0
107 0.0 1298.0
125 0.0 1.0
126 0.0 3.0
139 0.0 6.0
151 0.0 1.0
156 0.0 1.0
168 0.0 4.0
174 0.0 1.0
233 0.0 1.0
280 0.0 4.0
283 0.0 3.0
290 0.0 1.0
316 0.0 6.0
320 0.0 70.0
334 0.0 9.0
339 0.0 1.0
351 0.0 1.0
357 0.0 1.0
358 0.0 12.0
370 0.0 2.0
377 0.0 8.0
384 0.0 4.0
388 0.0 1.0
408 0.0 2.0
429 0.0 101.0
433 0.0 8.0
434 0.0 1.0
322 0.0126582278481 79.0
42 0.0140845070423 71.0
2 0.0299003322259 301.0
324 0.0512820512821 78.0
112 0.0909090909091 11.0
158 0.117647058824 17.0
447 0.129032258065 31.0
416 0.12962962963 54.0
74 0.135135135135 37.0
200 0.142857142857 7.0
140 0.157894736842 19.0
440 0.159292035398 113.0
380 0.162162162162 37.0
167 0.166666666667 6.0
368 0.175824175824 182.0
118 0.181818181818 11.0
210 0.181818181818 11.0
32 0.185520361991 221.0
393 0.1875 48.0
150 0.2 5.0
190 0.2 5.0
435 0.2 15.0
445 0.2 5.0
226 0.208 125.0
407 0.214285714286 14.0
114 0.225806451613 31.0
341 0.230769230769 13.0
289 0.243243243243 74.0
253 0.25 12.0
354 0.25 12.0
206 0.272727272727 88.0
209 0.277777777778 18.0
221 0.285714285714 7.0
64 0.294117647059 17.0
222 0.294117647059 34.0
197 0.3 10.0
24 0.333333333333 3.0
33 0.333333333333 3.0
69 0.333333333333 3.0
217 0.333333333333 6.0
